Price,Open,High,Low,Close,Volume,Difference
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,
Date,,,,,,
2021-05-25,1170.1537307784752,1178.7704740095392,1167.094744857506,1173.2557373046875,4099340,11.6759033203125
2021-05-26,1178.6843661320381,1206.3440917706655,1173.6435922141109,1203.9744873046875,6850024,30.71875
2021-05-27,1209.9628153141646,1220.346031032541,1199.1918882971079,1208.2825927734375,15365391,4.30810546875
2021-05-28,1214.7452614296749,1218.4073769544673,1202.983387001314,1210.6954345703125,4261312,2.412841796875
2021-05-31,1220.6681286347393,1220.6681286347393,1204.5551351422366,1213.9180908203125,4429904,3.22265625
2021-06-01,1219.3615032530086,1220.232475755332,1200.7662615923773,1208.2130126953125,4791325,-5.705078125
2021-06-02,1202.5952563024946,1212.3501055873878,1188.877439690679,1200.7662353515625,9272276,-7.44677734375
2021-06-03,1208.9969958950846,1218.4906181150707,1199.3728128462976,1210.3470458984375,5115645,9.580810546875
2021-06-04,1214.09216769656,1216.6616005621086,1199.895378641077,1206.8631591796875,4194328,-3.48388671875
2021-06-07,1211.5228375969002,1212.3938101616714,1199.5905559874905,1210.3470458984375,5154576,3.48388671875
2021-06-08,1215.8775621634632,1238.3051031560915,1215.4856670818356,1230.6405029296875,7360630,20.29345703125
2021-06-09,1231.0327527874454,1241.1360141650894,1223.368151014114,1232.6876220703125,5394317,2.047119140625
2021-06-10,1240.265032868907,1244.619896046115,1235.9101696916987,1240.5263671875,3496575,7.8387451171875
2021-06-11,1245.5775823901204,1264.303488605464,1245.0114290777753,1260.2099609375,6140828,19.68359375
2021-06-14,1281.2006492490314,1286.426484664051,1265.9150381321408,1273.187744140625,7132294,12.977783203125
2021-06-15,1275.103791070357,1285.5554614889663,1274.2328185354727,1283.7264404296875,5403104,10.5386962890625
2021-06-16,1282.6810640692133,1297.2698523733502,1278.1520499296114,1289.561767578125,7661710,5.8353271484375
2021-06-17,1284.7716463341542,1308.7669837182775,1284.7716463341542,1302.3653564453125,7677951,12.8035888671875
2021-06-18,1314.2975085574267,1320.2201641126776,1295.4845237346972,1309.3330078125,13533974,6.9676513671875
2021-06-21,1300.3620724304985,1311.5105640723955,1292.6974711367075,1306.72021484375,5454052,-2.61279296875
2021-06-22,1314.90729486806,1325.141222942779,1308.287924356051,1316.7799072265625,6427862,10.0596923828125
2021-06-23,1328.2329974366169,1328.2329974366169,1305.2828944498028,1309.2022705078125,5529809,-7.57763671875
2021-06-24,1321.2652671274627,1366.3380934780537,1316.2135841582835,1358.020263671875,10785137,48.8179931640625
2021-06-25,1369.1687419344182,1374.3945768272977,1343.9105399521675,1371.0848388671875,9780240,13.0645751953125
2021-06-28,1369.9526773998857,1376.2672280750623,1359.239673036804,1368.99462890625,5019178,-2.0902099609375
2021-06-29,1359.5879990996918,1370.6058218938479,1358.0202061563784,1361.37353515625,5913567,-7.62109375
2021-06-30,1369.212607418354,1385.7174967339552,1369.212607418354,1376.8336181640625,6058722,15.4600830078125
2021-07-01,1373.3930072922922,1373.3930072922922,1357.8897601108913,1359.0655517578125,4814317,-17.76806640625
2021-07-02,1357.8025504266625,1366.9477617714929,1343.562171167975,1365.5107421875,5166064,6.4451904296875
2021-07-05,1366.6862148827474,1380.4911046654295,1359.6313604698807,1375.2216796875,4058338,9.7109375
2021-07-06,1370.6494852954324,1382.015719815571,1356.1913619563304,1360.63330078125,4089574,-14.58837890625
2021-07-07,1363.9866068041097,1367.9059832858584,1345.347772938037,1362.7236328125,4797120,2.09033203125
2021-07-08,1365.684912101554,1372.6526922653372,1349.1364342125682,1359.370361328125,3326813,-3.353271484375
2021-07-09,1355.2331885032247,1367.3397273251671,1350.8783260723017,1361.242919921875,3436594,1.87255859375
2021-07-12,1367.9057813469253,1374.3944833697385,1335.8539536554729,1348.1346435546875,4588982,-13.1082763671875
2021-07-13,1355.5815853790407,1355.5815853790407,1338.0750598435359,1345.60888671875,4456160,-2.5257568359375
2021-07-14,1353.49111210628,1378.5751598006777,1339.642629656662,1373.4364013671875,5657716,27.8275146484375
2021-07-15,1356.8883230627418,1390.8126655113908,1355.2334537511215,1376.8336181640625,10021355,3.397216796875
2021-07-16,1370.6929898779226,1371.4768864021955,1349.6589824626813,1354.754150390625,6265593,-22.0794677734375
2021-07-19,1345.3912379284575,1352.5332765373414,1339.1638693330044,1342.7783203125,5669162,-11.975830078125
2021-07-20,1339.816976921609,1356.7137575793088,1339.5556426558176,1350.0509033203125,5069939,7.2725830078125
2021-07-22,1359.9366819998504,1387.3287286099348,1359.9366819998504,1385.0206298828125,7854575,34.9697265625
2021-07-23,1383.5832745741461,1392.2494075892132,1380.5348711168035,1385.238037109375,4179719,0.2174072265625
2021-07-26,1388.4173074229864,1403.7029180573702,1388.4173074229864,1396.952880859375,4586710,11.71484375
2021-07-27,1397.9109398244527,1401.6561643095713,1391.7270559963727,1395.777099609375,5892859,-1.17578125
2021-07-28,1397.9979854150688,1400.1754167381625,1380.9269451059924,1398.4334716796875,4686788,2.6563720703125
2021-07-29,1393.643092143495,1410.9754663584183,1393.643092143495,1408.362548828125,4660873,9.9290771484375
2021-07-30,1402.2656856372244,1413.9367380735853,1398.9124628703291,1402.701171875,6234257,-5.661376953125
2021-08-02,1417.4642058801662,1423.8223478971256,1410.278682485059,1421.0352783203125,5553389,18.3341064453125
2021-08-03,1434.4917348838053,1444.638585966481,1424.562626930286,1441.6336669921875,5513668,20.598388671875
2021-08-04,1453.7403226615859,1463.14686912244,1427.5676602328276,1436.4515380859375,6740391,-5.18212890625
2021-08-05,1436.6692958051754,1451.0403436262031,1434.5354554748603,1440.19677734375,5420536,3.7452392578125
2021-08-06,1443.201464252009,1446.380535210929,1431.8788215028985,1437.27880859375,3754855,-2.91796875
2021-08-09,1446.6851974576966,1452.3029270691816,1433.9690213207793,1448.6884765625,5018477,11.40966796875
2021-08-10,1452.782006038996,1463.2336751471903,1446.7287902084508,1460.8385009765625,6846517,12.1500244140625
2021-08-11,1458.7048011852285,1466.7177057432823,1452.7821455937024,1461.0999755859375,4899639,0.261474609375
2021-08-12,1462.4934728122273,1477.6048241977232,1458.0079432401938,1471.5950927734375,5659579,10.4951171875
2021-08-13,1478.0404344197511,1500.25023470125,1473.075933355373,1491.2791748046875,5612790,19.68408203125
2021-08-16,1487.3597412491697,1498.0291547007535,1472.030646043933,1484.485595703125,4564109,-6.7935791015625
2021-08-17,1484.0501084300226,1523.2438721030503,1468.9387563667328,1516.9293212890625,9510390,32.4437255859375
2021-08-18,1505.9115681210037,1528.9923411431014,1504.1696229872607,1509.787353515625,6686090,-7.1419677734375
2021-08-20,1494.6759407419665,1519.8470681780625,1494.6759407419665,1509.351806640625,6206972,-0.435546875
2021-08-23,1511.7907685883863,1526.945713875664,1508.5246211695724,1514.4036865234375,6189051,5.0518798828125
2021-08-24,1524.2018576309072,1530.298665061431,1491.7145412231635,1498.81298828125,7602939,-15.5906982421875
